time, size, sex
19989.6909902181,36,F
19994.031225577448,17,F
19996.02547292616,105,F
19998.363724584455,77,F
19958.42721639801,259,F
19979.80845351532,30,F
19963.253962969717,322,F
19970.49893381863,273,F
19991.467415068833,98,F
19988.076599815307,96,F
19989.18505048098,213,F
19994.352368937525,91,F
19960.406625226304,70,F
19964.467663870397,204,F
19996.384527124552,41,F
19966.884257676084,175,F
19990.538818078378,11,F
19965.0531278785,171,F
19968.10367935961,71,F
19980.260511887434,119,F
19979.560449930443,170,F
19944.686074756628,283,F
19992.765189724007,108,F
19953.73533772091,306,F
19956.26618848761,145,F
19993.725435149776,12,F
19941.084637341988,312,F
19950.98921950243,287,F
19991.305196526,107,F
19982.039973636543,51,F
19997.47061416024,9,F
19968.8359101952,37,F
19986.03036799097,60,F
19981.823979377194,104,F
19997.04920998314,124,F
19999.990717140125,20,F
19971.994016757428,237,F
19964.62654395432,121,F
19974.962253994407,110,F
19974.06131518272,42,F
19989.66836218553,6,F
19972.247642480204,153,F
19966.417787566468,78,F
19978.247907761524,248,F
19965.680329542418,226,F
19980.64531794741,122,F
19983.53769478419,276,F
19972.784041536674,148,F
19961.93691080718,113,F
19966.77488390558,88,F
19959.098651867036,156,F
19978.756201550383,68,F
19993.99699017684,39,F
19947.5166485878,192,F
19977.641254735092,23,M
19981.38182410621,76,M
19987.72346536949,84,M
19997.603971760487,2,M
19975.965377336008,222,M
19985.50664419997,38,M
19949.52584346369,262,M
19996.617378046638,134,M
19990.394179168616,62,M
19971.292931530108,142,M
19980.45186775338,126,M
19984.87610548912,43,M
19986.01421054971,244,M
19966.820956571002,50,M
19994.68707802191,5,M
19996.71290113662,22,M
19997.131554123876,16,M
19997.081109245693,58,M
19990.506559670972,85,M
19960.784498181005,295,M
19974.78355262313,147,M
19994.251766081616,123,M
19996.73467654276,4,M
19997.62043793018,217,M
19959.438239503834,159,M
19998.25033272809,125,M
19977.077220346404,45,M
19986.36862653395,18,M
19979.278151693834,106,M
19999.52251874088,0,M
19992.470653689317,3,M
19988.45400973,163,M
19992.629811339095,65,M
19986.558467416726,14,M
19973.69670878484,127,M
19986.0936078474,136,M
19977.708110941796,79,M
19997.624045928816,29,M
19956.08182605938,155,M
19973.89676042189,286,M
19940.336257708976,212,M
19949.69291779143,208,M
19949.292882427886,158,M
19960.5875881237,278,M
19988.897894644855,135,M
19970.115666681013,174,M
19966.508533166663,87,M
19934.681753702414,214,M
19977.733165375677,116,M
19984.807212721462,46,M
19993.576622992325,13,M
19963.955373753455,72,M
19994.57029246399,263,M
19986.00322767341,92,M
19990.482903252298,19,M
19963.446400301294,86,M
19973.210572987773,177,M
19965.413358226055,112,M
19974.32355348043,34,M
19965.30629085622,114,M
19988.343016019415,21,M
19976.835234376562,99,M
19994.633898787073,10,M
19971.131902566554,292,M
19995.530140272836,150,M
19959.308368953167,176,M
19986.85926530903,140,M
19973.420457146254,132,M
19980.192314331714,81,M
19982.216042446504,83,M
19971.249702582438,48,M
19970.99522564362,269,M
19973.94040017702,131,M
19956.69451704202,201,M
19970.591854896385,235,M
19998.675750758033,74,M
19947.22219493434,232,M
19958.277218577252,178,M
19921.174197061835,299,M
19935.452433238617,277,M
19982.416163518414,93,M
19950.578578769782,199,M
19984.46919909127,33,M
19995.114743163245,25,M
19939.350583213796,242,M
19986.52697699335,97,M
19967.92385583543,139,M
19935.913263144233,258,M
19975.779404255933,180,M
19946.487243469088,270,M
19950.76037848078,164,M
19955.388028574136,151,M
19998.047137491936,1,M
19983.250620241022,24,M
19957.560548769445,211,M
19953.63149984119,166,M
19994.861382497547,90,M
19951.447625551835,118,M
19987.88062041498,49,M
19983.38322931459,154,M
19986.86659677947,251,M
19983.72854845047,35,M
19953.281609851638,101,M
19974.115679996783,75,M
19974.973597518754,173,M
19990.043687591555,63,M
19932.297867471498,288,M
19994.16097266653,56,M
19944.120720540734,243,M
19991.952847538483,15,M
19962.13265327138,260,M
19989.12688014282,26,M
19978.198896449325,95,M
19971.517408061463,152,M
19988.45237930832,102,M
19988.050363523213,8,M
19957.452634420042,196,M
19966.252519865262,103,M
19977.01633703573,89,M
19971.5383185272,100,M
19954.163751970067,253,M
19989.6909902181,36,M
19994.031225577448,17,M
19979.525773678717,298,M
19964.41877610543,169,M
19996.02547292616,105,M
19998.363724584455,77,M
19997.518724644335,53,M
19958.42721639801,259,M
19979.80845351532,30,M
19992.79429999607,172,M
19970.49893381863,273,M
19980.081100214116,181,M
19991.467415068833,98,M
19988.076599815307,96,M
19960.406625226304,70,M
19950.89775250706,225,M
19964.467663870397,204,M
19996.384527124552,41,M
19948.379350759344,231,M
19966.884257676084,175,M
19990.538818078378,11,M
19980.260511887434,119,M
19950.47627524733,238,M
19956.26618848761,145,M
19993.725435149776,12,M
19950.98921950243,287,M
19976.044773497226,195,M
19991.13086054548,28,M
19934.575312916477,233,M
19991.305196526,107,M
19982.039973636543,51,M
19997.47061416024,9,M
19978.7885087024,234,M
19968.8359101952,37,M
19986.03036799097,60,M
19945.731880967756,254,M
19981.823979377194,104,M
19987.013792460053,301,M
19997.04920998314,124,M
19999.990717140125,20,M
19964.62654395432,121,M
19974.962253994407,110,M
19974.06131518272,42,M
19989.66836218553,6,M
19972.247642480204,153,M
19965.680329542418,226,M
19980.64531794741,122,M
19983.53769478419,276,M
19972.784041536674,148,M
19991.584513646005,120,M
19961.93691080718,113,M
19966.77488390558,88,M
19959.098651867036,156,M
19978.756201550383,68,M
19993.99699017684,39,M
19951.288621868214,193,M
19947.5166485878,192,M
